Damit dies auch dann funktioniert, wenn der Empfänger gerade keine Anwendungsdaten an den Sender zu schicken hat, muss der Empfänger in diesem Fall ein leeres Segment ohne Dateninhalt an den Sender schicken, in dem er den freien Empfangspufferplatz mitteilt.;Damit dies auch dann funktioniert, wenn der Empfänger gerade keine Anwendungsdaten an den Sender zu schicken hat, muss der Empfänger in diesem Fall ein leeres Segment von sich aus senden. Um Daten aus verschiedenen Quellen abzurufen, müssen Sie einen weiteren Empfänger in dieser Position auf dem Sendeband einsetzen. In einem solchen Fall sollten Sie die Adresse in den entsprechenden Sendebereich setzen.
 Falls die Datenrate, in der ein Empfänger Daten empfangen kann, niedriger sein kann, als die Rate, in der ein Sender Daten senden kann, dann muss zusätzlich das Problem der Überflutung des Empfängers mit Nachrichten gelöst werden.; Falls die Datenrate, in der ein Empfänger Daten empfangen kann, niedriger sein kann, als die Rate, in der ein Sender Daten senden kann. Das bedeutet, daß eine höhere Latenz für einen Sender beziehungsweise für ein anderes Programm erforderlich wäre. Ein weiteres Beispiel für Latenz ist ein Radiosender, der vom Mobilfunkkanal auf das Internet übertragen wird.
Falls N = sendbase, weiß der Sender, dass der Empfänger das Segment mit der Sequenznummer N nicht korrekt empfangen hat, siehe auch Abbildung 3.25.;Falls N = sendbase, weiß der Sender, dass der Empfänger das Segment mit der Sequenznummer aus dem Telegramm ausgibt. Mit den Angaben ».c« und ».o« ist der Sender im Feld der Sendestation mit der Sequenznummer und der zugehörigen Daten bestätigt. Mit ».
Insofern funktioniert TCP wie eine Datei, in die der Sender Daten schreibt und aus welcher der Empfänger Daten liest (analog zu einer Pipe in Unix).;Insofern funktioniert TCP wie eine Datei, in die der Sender Daten schreibt und aus welcher der Empfänger Daten abstrahlt. Mit den von TCP empfangenen Daten kann mit jedem Betriebssystem gearbeitet werden, sowohl mit Text und Daten als auch mit HTML und E-Mail oder im Internet.
 Als Beispiel schauen wir ein vereinfachtes TCP-Senderprogramm an, 1. das keine Flusskontrolle (siehe Abschnitt 3.4.5.6) realisiert, 2. das Daten vom Anwendungsprozess erhält, die kleiner als die maximale Segmentgröße sind, und 3. das nur unidirektionalen Datentransfer vom Sender zum Empfänger durchführt.; Als Beispiel schauen wir ein vereinfachtes TCP-Senderprogramm an, 1. das keine Flusskontrolle (siehe Abschnitt 3.4.5.6) realisiert, 2. das Daten vom Anwendungsprozess erhält, die kleiner als 16 KBit sind.
 Um festzustellen, ob die Daten in einem TCP-Segment verändert wurden, berechnet der Empfänger die 1er-Komplement-Summe, siehe Abschnitt 3.4.3, auf dem empfangenen Segment inklusive der Prüfsumme im TCP-SegmentHeader, siehe auch Abbildung 3.29.; Um festzustellen, ob die Daten in einem TCP-Segment verändert wurden, berechnet der Empfänger die 1er-Komplement-Summe, siehe Abschnitt 3.4.3, auf die sich die Option „Default value“ bezieht.
Deshalb fügt TCP eine eigene Prüfsumme zu jedem Segment hinzu, siehe Abbildung 3.29, und überträgt verfälschte Daten erneut, siehe Abschnitt 3.4.5.5.;Deshalb fügt TCP eine eigene Prüfsumme zu jedem Segment hinzu, siehe Abbildung 3.29, „PILOF-Wert und VOLUMEN (v):“ Die beiden obigen Werte werden durch die VOLUMEN-Eigenschaften gebildet.
Sobald der Sender innerhalb der Zeitschranke kein ACK für das Paket erhält, wird er das Paket wiederholen, auch wenn tatsächlich gar kein Paket oder ACK verlorengegangen sein mag, z. B. wegen einer Überlastung des Internets.;Sobald der Sender innerhalb der Zeitschranke kein ACK für das Paket erhält, wird er das Paket wiederholen, auch wenn tatsächlich gar kein Paket von Broadcast Recording Studio (BRC) empfangen wird. Ein solches Problem gibt es aber in der Praxis auch bei nicht-komprimiertem Fernsehen, insbesondere wenn es die Sender-Frequenz im Kopf erfordert.
Damit dies funktioniert, teilt der Empfänger dem Sender in jedem Segment, das er an den Sender schickt, in dem WINDOW-Feld des TCP-Headers mit, wie viel freien Platz er im Puffer hat.;Damit dies funktioniert, teilt der Empfänger dem Sender in jedem Segment, das er an den Sender schickt, in dem WINDOW-Feld (2K BMP) auf. Die Anzeige kann dann über alle Kanäle hinweg verwendet werden, während das System in ein Endgerät eingebettet ist, dem mehrere Systeme angeschlossen sind.
Der Empfänger hat nun das Problem, dass er nicht weiß, ob das letzte gesendete ACK/NACK korrekt vom Sender empfangen wurde (und ob daher das aktuelle Paket eine Wiederholung ist oder nicht).;Der Empfänger hat nun das Problem, dass er nicht weiß, ob das letzte gesendete ACK/NACK korrekt vom Sender empfangen wurde (engl. '@nACK').
